dataset,view,task,model,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,train_time_seconds,inference_time_per_sample_ms,n_train,n_val,n_test,n_features,features
MQTTEEB-D,broker_side_secure_mqtt_metadata,multiclass,Logistic Regression,42,ok,0.505870724255676,0.5436298730965059,0.37635161166521064,0.3821119572341114,0.49889527160572733,,,22.7638306000008,0.0030035733538830694,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]"
MQTTEEB-D,broker_side_secure_mqtt_metadata,multiclass,Random Forest,42,ok,0.521835499910142,0.6106820172382514,0.6127426623553361,0.5592265452977746,0.5372139835965379,,,3.843203500000527,0.009384813993806425,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]"
MQTTEEB-D,broker_side_secure_mqtt_metadata,multiclass,Extra Trees,42,ok,0.5179416521895406,0.6028399712178064,0.6120127537514358,0.5570518939244563,0.5336821247941621,,,2.935286099993391,0.009637201222041307,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]"
MQTTEEB-D,broker_side_secure_mqtt_metadata,multiclass,HistGradientBoosting,42,ok,0.5188402324327562,0.5905139184162775,0.6103444108693044,0.552398825368217,0.53242825250581,,,22.93578329999582,0.024305837776530236,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]"
MQTTEEB-D,broker_side_secure_mqtt_metadata,multiclass,MLP,42,ok,0.6441322710118014,0.6119983197688734,0.5855587711062604,0.5687119720899092,0.6206561175343126,,,30.36971589998575,0.0001404480922695548,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]"
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,multiclass,Logistic Regression,42,ok,0.8045705279747833,0.7483552945402887,0.7601291261336978,0.7355858449569498,0.8005168301196672,,,0.5354334000003291,0.004143971627632448,11840,2537,2538,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,multiclass,Random Forest,42,ok,0.8806146572104019,0.8204270959754095,0.8451975193028027,0.8247088583256398,0.8837504654687177,,,0.7608802000031574,0.05198313632720921,11840,2537,2538,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,multiclass,Extra Trees,42,ok,0.8778565799842396,0.8176690393752716,0.8458588107418383,0.8233325156761597,0.8813465070307875,,,0.3370442000014009,0.057640386124910646,11840,2537,2538,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,multiclass,HistGradientBoosting,42,ok,0.8794326241134752,0.818687164926884,0.8505507902570418,0.8249742713684364,0.8832443505785347,,,8.636628699998255,0.043141174155048555,11840,2537,2538,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,multiclass,MLP,42,ok,0.8739164696611506,0.8516361371670711,0.8425753273934,0.8447171384778903,0.8752062097956039,,,3.4916468000010354,6.780929896845487e-05,11840,2537,2538,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
