dataset,view,task,model,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,train_time_seconds,inference_time_per_sample_ms,n_train,n_val,n_test,n_features,features
MQTTEEB-D,full_feature_upper_bound,binary,Logistic Regression,42,ok,0.8594320972862877,0.6049460558795695,0.6626523713947996,0.62329310852396,0.8744850309701117,0.6481849962212703,0.9521342400171631,2.5971430000063265,0.003244497693807533,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]"
MQTTEEB-D,full_feature_upper_bound,binary,Random Forest,42,ok,0.8324147846402684,0.6195917951793599,0.7575069658598792,0.6446342661464899,0.8621962843181518,0.7974585376770749,0.9686565493580416,3.8147558999917237,0.008345740730309354,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]"
MQTTEEB-D,full_feature_upper_bound,binary,Extra Trees,42,ok,0.8207032888036901,0.6124214064202248,0.7537531495997667,0.6339084672633247,0.8541490237909998,0.7967812354569279,0.9686094442388569,2.8699542000103975,0.008889678307811419,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]"
MQTTEEB-D,full_feature_upper_bound,binary,HistGradientBoosting,42,ok,0.8428083627867968,0.6269591647414142,0.7614132127734887,0.6548900604204315,0.8693683371673652,0.8153046524200859,0.9749894952773849,2.8633029000047827,0.00633590127608996,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]"
MQTTEEB-D,full_feature_upper_bound,binary,MLP,42,ok,0.8793506260109027,0.6266641657417185,0.6666955923183346,0.6424292035188809,0.8875630185626942,0.778022055297056,0.9683367583017489,30.173353300007875,0.00018237285089450263,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]"
MQTTEEB-D,full_feature_upper_bound,binary,Isolation Forest,42,ok,0.49457856586593185,0.5206148862888518,0.570649194338503,0.4037583910562955,0.5997431704344501,0.657111238747761,0.9511245044642058,0.2517594000091776,0.07412082010418776,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]"
MQTTEEB-D,broker_side_secure_mqtt_metadata,binary,Logistic Regression,42,ok,0.8594320972862877,0.6049460558795695,0.6626523713947996,0.62329310852396,0.8744850309701117,0.6481849962212703,0.9521342400171631,1.8147801000013715,0.003089609416913746,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]"
MQTTEEB-D,broker_side_secure_mqtt_metadata,binary,Random Forest,42,ok,0.8324147846402684,0.6195917951793599,0.7575069658598792,0.6446342661464899,0.8621962843181518,0.7974585376770749,0.9686565493580416,3.667022599998745,0.007920328880240576,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]"
MQTTEEB-D,broker_side_secure_mqtt_metadata,binary,Extra Trees,42,ok,0.8207032888036901,0.6124214064202248,0.7537531495997667,0.6339084672633247,0.8541490237909998,0.7967812354569279,0.9686094442388569,2.844688799988944,0.009436997544508142,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]"
MQTTEEB-D,broker_side_secure_mqtt_metadata,binary,HistGradientBoosting,42,ok,0.8428083627867968,0.6269591647414142,0.7614132127734887,0.6548900604204315,0.8693683371673652,0.8153046524200859,0.9749894952773849,2.9419273999956204,0.006524450368477953,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]"
