dataset,view,task,model,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,train_time_seconds,inference_time_per_sample_ms,n_train,n_val,n_test,n_features,features,comparison_view,macro_f1_delta_vs_packet_full
MQTTEEB-D,broker_side_secure_mqtt_metadata,binary,HistGradientBoosting,42,ok,0.8428083627867968,0.6269591647414142,0.7614132127734887,0.6548900604204315,0.8693683371673652,0.8153046524200859,0.9749894952773849,2.9419273999956204,0.006524450368477953,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]",broker_side_secure_mqtt_metadata,0.0
MQTTEEB-D,full_feature_upper_bound,binary,HistGradientBoosting,42,ok,0.8428083627867968,0.6269591647414142,0.7614132127734887,0.6548900604204315,0.8693683371673652,0.8153046524200859,0.9749894952773849,2.8633029000047827,0.00633590127608996,155796,33385,33386,9,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]",full_feature_upper_bound,0.0
MQTTEEB-D,strict_encrypted_flow_metadata,binary,HistGradientBoosting,42,ok,0.8325046426645899,0.6198667278834532,0.7582500081974531,0.6449887037675468,0.8622889498072376,0.809401492341406,0.9743084063092854,1.331156500003999,0.0024918648531440453,155796,33385,33386,2,"[""tcp_flags"", ""tcp_len""]",strict_encrypted_flow_metadata,-0.009901356652884719
MQTTEEB-D_flow_10s,broker_side_secure_mqtt_metadata,binary,MLP,42,ok,0.8768020969855832,0.8896005149170333,0.8786103130198095,0.8761106888689283,0.8759287393645454,0.8934433553744003,0.9117290500306011,0.16166909999446943,0.00021861075239956653,3556,762,763,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]",broker_10s,0.22122062844849677
MQTTEEB-D_flow_10s,full_feature_upper_bound,binary,MLP,42,ok,0.8768020969855832,0.8896005149170333,0.8786103130198095,0.8761106888689283,0.8759287393645454,0.8934433553744003,0.9117290500306011,0.16689810001116712,0.000190563547378589,3556,762,763,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]",MQTTEEB-D_flow_10s_full_feature_upper_bound,0.22122062844849677
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,binary,Isolation Forest,42,ok,0.872870249017038,0.8844455417607224,0.8745996178326436,0.8722302689843644,0.8720524967530662,0.9003993511403159,0.9159688338437826,0.23725710000144318,0.15169921362995956,3556,762,763,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]",strict_10s,0.21734020856393288
MQTTEEB-D_flow_1s,broker_side_secure_mqtt_metadata,binary,HistGradientBoosting,42,ok,0.9125295508274232,0.8448062051628571,0.9038272032924439,0.8692676579477123,0.9159667971110168,0.9444425353516263,0.9839971833516727,0.6545116000052076,0.008345744678078379,11840,2537,2538,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]",broker_1s,0.2143775975272808
MQTTEEB-D_flow_1s,full_feature_upper_bound,binary,HistGradientBoosting,42,ok,0.9125295508274232,0.8448062051628571,0.9038272032924439,0.8692676579477123,0.9159667971110168,0.9444425353516263,0.9839971833516727,0.7867143000039505,0.007814460204583222,11840,2537,2538,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]",MQTTEEB-D_flow_1s_full_feature_upper_bound,0.2143775975272808
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary,HistGradientBoosting,42,ok,0.9125295508274232,0.8448062051628571,0.9038272032924439,0.8692676579477123,0.9159667971110168,0.9444425353516263,0.9839971833516727,0.9443275000085123,0.006767375882930754,11840,2537,2538,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]",strict_1s,0.2143775975272808
MQTTEEB-D_flow_5s,broker_side_secure_mqtt_metadata,binary,HistGradientBoosting,42,ok,0.8939688715953308,0.8903502282117532,0.9035022354694486,0.8924792470898907,0.894842948784473,0.927798258686956,0.9605402696153202,1.0622044999909122,0.01769669262573652,4794,1027,1028,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]",broker_5s,0.23758918666945916
