dataset,policy,view_role,view,task,model,split_type,n_train,n_val,n_test,n_features,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,comparison_view
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.8428083627867968,0.6269591647414142,0.7614132127734887,0.6548900604204315,0.8693683371673652,0.8153046524200859,0.9749894952773848,2.9329794000077527,2.6077367756142777e-06,full-feature audited
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.8428083627867968,0.6269591647414142,0.7614132127734887,0.6548900604204315,0.8693683371673652,0.8153046524200859,0.9749894952773848,2.6465844999911496,2.869283532237034e-06,broker-side audited
MQTTEEB-D_flow_1s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,11840.0,2537.0,2538.0,14,42,ok,0.9125295508274232,0.8448062051628571,0.9038272032924439,0.8692676579477123,0.9159667971110168,0.9444425353516263,0.9839971833516727,0.844603499994264,3.440031518092213e-06,strict encrypted-flow 1s
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,4794.0,1027.0,1028.0,14,42,ok,0.8939688715953308,0.8905721990237687,0.9038787355871049,0.8925287472077634,0.8948523092448468,0.9276198133186916,0.9500438252774835,0.17510310000216123,7.112198443027895e-05,strict encrypted-flow 5s
MQTTEEB-D_flow_10s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,3556.0,762.0,763.0,14,42,ok,0.8715596330275229,0.8827441113037595,0.8732627194369218,0.8709368958851147,0.8707606495240556,0.9005196376283628,0.9158431581063375,0.1922705000033602,9.500013105861164e-05,strict encrypted-flow 10s
MQTTEEB-D_flow_5s,conservative_anti_leakage,strict,strict_conservative_anti_leakage,binary,Isolation Forest,random_stratified,4794.0,1027.0,1028.0,14,42,ok,0.8939688715953308,0.8905721990237687,0.9038787355871049,0.8925287472077634,0.8948523092448468,0.9276198133186916,0.9500438252774835,0.1798716999910539,6.846673152187987e-05,conservative strict 5s
MQTT-IoT-IDS2020,audited_metadata_main,full,full_audited_metadata_main,binary,Random Forest,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.9992803351581978,0.9991533324240044,0.9990364895249688,0.999094890854636,0.9992802930380902,0.9998097259875446,0.999722290163278,3.157716600006097,2.1603695993647134e-06,full-feature audited
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,binary,Random Forest,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.9992803351581978,0.9991533324240044,0.9990364895249688,0.999094890854636,0.9992802930380902,0.9998097259875446,0.999722290163278,3.259433400002308,2.188102397940965e-06,broker-side audited
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.9992803351581978,0.9991533324240044,0.9990364895249688,0.999094890854636,0.9992802930380902,0.9998097259875446,0.999722290163278,3.620971399999689,2.5468784537345933e-06,strict encrypted-flow audited
MQTT-IoT-IDS2020,conservative_anti_leakage,strict,strict_conservative_anti_leakage,binary,HistGradientBoostingClassifier,random_stratified,181565.0,38907.0,38907.0,14,42,ok,0.9742976842213484,0.9587655856119848,0.9795554286187094,0.9684115053327244,0.9745822675650554,0.9981151257380904,0.9950448251256042,3.077493800010416,1.4476135397675052e-06,conservative strict
