train_dataset,test_dataset,view,feature_columns,model,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,number_of_features,encoded_number_of_features,train_sample_size,test_sample_size,random_seed
MQTTEEB-D_flow_10s,IoT-23,strict_encrypted_flow_metadata,"[""bytes_per_second"", ""duration"", ""packets_per_second""]",Logistic Regression,ok,0.6245,0.6523572717078641,0.6245,0.6065135617746882,0.6065135617746882,0.5993956150000002,0.5233166764892884,0.026421100003062747,2.7150499954586847e-07,3,3,5081,20000,42
MQTTEEB-D_flow_10s,IoT-23,strict_encrypted_flow_metadata,"[""bytes_per_second"", ""duration"", ""packets_per_second""]",Random Forest,ok,0.502,0.7505010020040079,0.502,0.33776243490656865,0.33776243490656865,0.44452676500000005,0.5208612747994149,0.40716460000840016,3.4777649998432024e-06,3,3,5081,20000,42
MQTTEEB-D_flow_10s,IoT-23,strict_encrypted_flow_metadata,"[""bytes_per_second"", ""duration"", ""packets_per_second""]",Extra Trees,ok,0.48065,0.27665563103094726,0.48065,0.3269698844552693,0.3269698844552693,0.36419186500000006,0.4321075114889821,0.22849769999447744,5.607204999978422e-06,3,3,5081,20000,42
MQTTEEB-D_flow_10s,MQTT-IoT-IDS2020,strict_encrypted_flow_metadata,"[""burstiness"", ""byte_max"", ""byte_mean"", ""byte_min"", ""byte_std"", ""byte_sum"", ""bytes_per_second"", ""duration"", ""iat_max"", ""iat_mean"", ""iat_min"", ""iat_std"", ""packet_count"", ""packets_per_second""]",Logistic Regression,ok,0.23065,0.19565356569107334,0.23065,0.20787872943037775,0.20787872943037775,0.035332499999999996,0.3409163067566359,0.08670379999966826,5.194550001760944e-07,14,14,5081,20000,42
MQTTEEB-D_flow_10s,MQTT-IoT-IDS2020,strict_encrypted_flow_metadata,"[""burstiness"", ""byte_max"", ""byte_mean"", ""byte_min"", ""byte_std"", ""byte_sum"", ""bytes_per_second"", ""duration"", ""iat_max"", ""iat_mean"", ""iat_min"", ""iat_std"", ""packet_count"", ""packets_per_second""]",Random Forest,ok,0.4007,0.22243810369712447,0.4007,0.28607125008924117,0.28607125008924117,0.50483507,0.6407063549118479,0.3496134000015445,2.6867100001254586e-06,14,14,5081,20000,42
MQTTEEB-D_flow_10s,MQTT-IoT-IDS2020,strict_encrypted_flow_metadata,"[""burstiness"", ""byte_max"", ""byte_mean"", ""byte_min"", ""byte_std"", ""byte_sum"", ""bytes_per_second"", ""duration"", ""iat_max"", ""iat_mean"", ""iat_min"", ""iat_std"", ""packet_count"", ""packets_per_second""]",Extra Trees,ok,0.5,0.25,0.5,0.3333333333333333,0.3333333333333333,0.8471469150000001,0.8863009141885334,0.15039159999287222,2.687629999854835e-06,14,14,5081,20000,42
MQTTEEB-D_flow_1s,IoT-23,strict_encrypted_flow_metadata,"[""bytes_per_second"", ""duration"", ""packets_per_second""]",Logistic Regression,ok,0.671,0.725437217686027,0.671,0.6498627424701839,0.6498627424701839,0.6742801950000001,0.6122661718248881,0.024013400005060248,1.5475499967578799e-07,3,3,13204,20000,42
MQTTEEB-D_flow_1s,IoT-23,strict_encrypted_flow_metadata,"[""bytes_per_second"", ""duration"", ""packets_per_second""]",Random Forest,ok,0.62155,0.6430523891508455,0.62155,0.6067734006472434,0.6067734006472434,0.61088104,0.5787599488725663,0.3896028000017395,2.466495000408031e-06,3,3,13204,20000,42
MQTTEEB-D_flow_1s,IoT-23,strict_encrypted_flow_metadata,"[""bytes_per_second"", ""duration"", ""packets_per_second""]",Extra Trees,ok,0.62775,0.6522139492103933,0.62775,0.6121667827965385,0.6121667827965385,0.6388380000000001,0.6347620749692363,0.18805840000277385,2.50402999954531e-06,3,3,13204,20000,42
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,strict_encrypted_flow_metadata,"[""burstiness"", ""byte_max"", ""byte_mean"", ""byte_min"", ""byte_std"", ""byte_sum"", ""bytes_per_second"", ""duration"", ""iat_max"", ""iat_mean"", ""iat_min"", ""iat_std"", ""packet_count"", ""packets_per_second""]",Logistic Regression,ok,0.22895,0.19311890385174665,0.22895,0.20576654587384094,0.2057665458738409,0.392725695,0.5795182297336543,0.13056420000793878,4.4352499971864744e-07,14,14,13204,20000,42
