train_dataset,test_dataset,policy,view_role,task,model,status,n_train,n_val,n_test,n_features,seed,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,features,validation_type
MQTTEEB-D_flow_5s,IoT-23,audited_metadata_main,strict,binary,Logistic Regression,ok,4794,1027,56009,6,42,0.4738345623024871,0.5769353926527969,0.619394164185268,0.45783011332123424,0.517718319012384,0.694531463409333,0.8558783262424351,0.0215291999920737,1.5519470094717387e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""duration"", ""bytes_per_second"", ""packets_per_second""]",external IoT robustness validation
MQTTEEB-D_flow_5s,IoT-23,audited_metadata_main,strict,binary,Random Forest,ok,4794,1027,56009,6,42,0.2853648520773447,0.5019852089974179,0.5018599339259711,0.2852230087425858,0.2787494515292372,0.6966368993023104,0.8929161608699482,0.23272350001207087,8.418093521520802e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""duration"", ""bytes_per_second"", ""packets_per_second""]",external IoT robustness validation
MQTTEEB-D_flow_5s,IoT-23,audited_metadata_main,strict,binary,Extra Trees,ok,4794,1027,56009,6,42,0.2853648520773447,0.49969090754153567,0.4997076430698342,0.28525980786820915,0.27968906128976456,0.6900673107435502,0.8920830951602041,0.12855530000524595,1.0035172917537462e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""duration"", ""bytes_per_second"", ""packets_per_second""]",external IoT robustness validation
MQTTEEB-D_flow_5s,IoT-23,audited_metadata_main,strict,binary,HistGradientBoostingClassifier,ok,4794,1027,56009,6,42,0.49326001178382045,0.5752339291648121,0.6207695440022605,0.4719758236079006,0.5401325449975581,0.53522683170684,0.8615109871368651,0.5691330000117887,7.45983681171177e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""duration"", ""bytes_per_second"", ""packets_per_second""]",external IoT robustness validation
MQTTEEB-D_flow_5s,IoT-23,audited_metadata_main,strict,binary,Isolation Forest,ok,4794,1027,56009,6,42,0.8214572657965684,0.4107286328982842,0.5,0.45098904114960103,0.7409364492939348,0.5130222054380665,0.8227633445074558,0.1251812999980757,1.701752754023641e-05,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""duration"", ""bytes_per_second"", ""packets_per_second""]",external IoT robustness validation
MQTT-IoT-IDS2020,IoT-23,audited_metadata_main,strict,binary,Logistic Regression,ok,181565,38907,56009,6,42,0.7507364887785891,0.4869647315737009,0.4918211860722902,0.48409073996986757,0.7225461805115965,0.4917965006846487,0.8367373087881392,0.6694369000033475,1.6038672344090957e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""duration"", ""bytes_per_second"", ""packets_per_second""]",external IoT robustness validation
MQTT-IoT-IDS2020,IoT-23,audited_metadata_main,strict,binary,Random Forest,ok,181565,38907,56009,6,42,0.7754646574657644,0.525814313037404,0.5135251244321763,0.5075751014380946,0.7410827633925465,0.3131754254602361,0.7566586651988884,1.8767111000051955,1.812526558390225e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""duration"", ""bytes_per_second"", ""packets_per_second""]",external IoT robustness validation
MQTT-IoT-IDS2020,IoT-23,audited_metadata_main,strict,binary,Extra Trees,ok,181565,38907,56009,6,42,0.7929439911442804,0.5240621713532655,0.5080417320524245,0.4918315574075531,0.7433219694877548,0.2994445173770349,0.7526317576058102,0.636709799990058,1.0284061490134288e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""duration"", ""bytes_per_second"", ""packets_per_second""]",external IoT robustness validation
MQTT-IoT-IDS2020,IoT-23,audited_metadata_main,strict,binary,HistGradientBoostingClassifier,ok,181565,38907,56009,6,42,0.6538949097466479,0.4393849092226243,0.43381537851289964,0.4363877929540946,0.6614902177567343,0.40439377947792815,0.794634658905806,2.0422657000017352,8.220089628510336e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""duration"", ""bytes_per_second"", ""packets_per_second""]",external IoT robustness validation
MQTT-IoT-IDS2020,IoT-23,audited_metadata_main,strict,binary,Isolation Forest,ok,181565,38907,56009,6,42,0.8214572657965684,0.4107286328982842,0.5,0.45098904114960103,0.7409364492939348,0.5258494077245757,0.8371639172739522,0.35211350000463426,2.2559931439600778e-05,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""duration"", ""bytes_per_second"", ""packets_per_second""]",external IoT robustness validation
