train_dataset,test_dataset,policy,view_role,task,model,status,n_train,n_val,n_test,n_features,seed,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,features
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Logistic Regression,ok,11840,2537,259379,14,42,0.16308953307708027,0.19210213069533966,0.23833563306038663,0.16022305324126307,0.13802041343073684,0.4115400808520185,0.49698312969370156,0.137532699998701,5.146735086152438e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Random Forest,ok,11840,2537,259379,14,42,0.2761595965748962,0.6364067350822614,0.5016651276319449,0.2186484598731597,0.1227200146175149,0.9259957916323743,0.7340899628647672,0.42637299999478273,9.835244950201823e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Extra Trees,ok,11840,2537,259379,14,42,0.926320172411799,0.8939597389914773,0.9492748622450604,0.9139728606260908,0.9287215062967303,0.9436827743204321,0.8016102788021655,0.17751819999830332,1.0669984848412324e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,HistGradientBoostingClassifier,ok,11840,2537,259379,14,42,0.1236684542696209,0.10068024872526736,0.21300387363617354,0.11463287915812415,0.07415779234126522,0.4094106835562608,0.4829572570329836,0.708753799990518,8.11040986326581e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,audited_metadata_main,strict,binary,Isolation Forest,ok,11840,2537,259379,14,42,0.273734573731875,0.1368672868659375,0.5,0.21490707669955808,0.11765499406463378,0.436536288377255,0.5472633970412373,0.17159809998702258,3.4129458051736235e-05,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_1s,audited_metadata_main,strict,binary,Logistic Regression,ok,181565,38907,16915,14,42,0.28182086905113807,0.590492516892873,0.5518557527508964,0.27569968473650963,0.23433937374371194,0.43891235346816415,0.8436604657300718,1.9798413999960758,5.541058235749175e-07,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_1s,audited_metadata_main,strict,binary,Random Forest,ok,181565,38907,16915,14,42,0.26940585279337864,0.5931973631981204,0.5462306616401295,0.26104722460791474,0.21222893314339591,0.9052924804719067,0.9593938681210327,2.215848099993309,3.2330653265431334e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_1s,audited_metadata_main,strict,binary,Extra Trees,ok,181565,38907,16915,14,42,0.6782146024238841,0.6728865996854834,0.7814189760429104,0.6416977767408564,0.7127500521948513,0.889696286213599,0.9572909684597393,0.8266673000034643,3.3038368314684117e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_1s,audited_metadata_main,strict,binary,HistGradientBoostingClassifier,ok,181565,38907,16915,14,42,0.49352645580845406,0.614889945461711,0.6646257399605608,0.48378191317311303,0.5278378122563863,0.5643054329742988,0.8804508962029846,2.9493534000066575,1.7309547736103823e-06,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_1s,audited_metadata_main,strict,binary,Isolation Forest,ok,181565,38907,16915,14,42,0.810582323381614,0.405291161690807,0.5,0.44769150395089136,0.725781638861445,0.870567794104645,0.9633422408054509,0.6309887999959756,2.349456104101955e-05,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
