train_dataset,test_dataset,task,view,model,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,n_train,n_val,n_test,n_features,seed
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,Logistic Regression,ok,0.27375385054302775,0.6368699252816397,0.50001327118878,0.21493687084447705,0.11769532729164606,0.899034981963009,0.8512872062880295,0.013055699993856251,5.7644219445042867e-08,11840,2537,259379,1,42
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,Random Forest,ok,0.27350710736027206,0.13678466759216412,0.4995845128941846,0.214766848005425,0.11757822318100679,0.10532261991027533,0.1977981791659494,0.40312759998778347,7.546586269544284e-07,11840,2537,259379,1,42
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,Extra Trees,ok,0.27366517721172495,0.13684208497036948,0.49987324122195465,0.21486430037352963,0.11763157534589136,0.10096220275282361,0.19831734828970185,0.19818110000051092,7.418013794498815e-07,11840,2537,259379,1,42
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,HistGradientBoostingClassifier,ok,0.27366517721172495,0.13684208497036948,0.49987324122195465,0.21486430037352963,0.11763157534589136,0.10529203694255325,0.19756285596275072,0.4866638000094099,4.781636138136183e-07,11840,2537,259379,1,42
MQTT-IoT-IDS2020,MQTTEEB-D_flow_1s,binary,strict_encrypted_flow_safe,Logistic Regression,ok,0.49547738693467336,0.6124753639510687,0.6624806931675279,0.48499692409405054,0.5306323252819596,0.7746058938616134,0.9346320136571433,0.12192789999244269,2.9077741621376545e-07,181565,38907,16915,1,42
MQTT-IoT-IDS2020,MQTTEEB-D_flow_1s,binary,strict_encrypted_flow_safe,Random Forest,ok,0.7411173514631983,0.4210393593552027,0.4638481126948109,0.43784175445732987,0.6943224931679431,0.7468312119150166,0.9127819642742122,2.0309822000126587,3.2454389598599945e-06,181565,38907,16915,1,42
MQTT-IoT-IDS2020,MQTTEEB-D_flow_1s,binary,strict_encrypted_flow_safe,Extra Trees,ok,0.7912503694945315,0.7225676886570798,0.8348800652236997,0.7387278178258914,0.8114934362834865,0.7829859218898118,0.9392696249360691,0.5232867000013357,3.6286077444724343e-06,181565,38907,16915,1,42
MQTT-IoT-IDS2020,MQTTEEB-D_flow_1s,binary,strict_encrypted_flow_safe,HistGradientBoostingClassifier,ok,0.810582323381614,0.405291161690807,0.5,0.44769150395089136,0.725781638861445,0.7813871071925174,0.9145287831594262,1.263798300002236,1.2666390777724935e-06,181565,38907,16915,1,42
MQTTEEB-D_flow_5s,MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,Logistic Regression,ok,0.27375385054302775,0.6368699252816397,0.50001327118878,0.21493687084447705,0.11769532729164606,0.899034981963009,0.8512872062880295,0.012476599993533455,4.499207720205309e-08,4794,1027,259379,1,42
MQTTEEB-D_flow_5s,MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,Random Forest,ok,0.27366517721172495,0.13684208497036948,0.49987324122195465,0.21486430037352963,0.11763157534589136,0.25973917548411435,0.2165572165502303,0.31574730000284035,7.199283673886492e-07,4794,1027,259379,1,42
MQTTEEB-D_flow_5s,MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,Extra Trees,ok,0.27366517721172495,0.13684208497036948,0.49987324122195465,0.21486430037352963,0.11763157534589136,0.25950338727623556,0.2165008333666693,0.17537820000143256,7.388350637160661e-07,4794,1027,259379,1,42
MQTTEEB-D_flow_5s,MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,HistGradientBoostingClassifier,ok,0.273734573731875,0.1368672868659375,0.5,0.21490707669955808,0.11765499406463378,0.41389360387398255,0.474839616354885,0.9009256999997888,1.0365538459118815e-06,4794,1027,259379,1,42
MQTT-IoT-IDS2020,MQTTEEB-D_flow_5s,binary,strict_encrypted_flow_safe,Logistic Regression,ok,0.6230106584902906,0.7439039185491447,0.6793606526185354,0.6109272050626122,0.5981629936953461,0.829982331627976,0.900866688872219,0.11298200000601355,3.583442843615017e-07,181565,38907,6849,1,42
MQTT-IoT-IDS2020,MQTTEEB-D_flow_5s,binary,strict_encrypted_flow_safe,Random Forest,ok,0.5716162943495401,0.3499466846167033,0.48314433598915413,0.3705404934695227,0.43676928347779503,0.7738869287790238,0.8234139035452563,2.0316820000007283,8.345554095679606e-06,181565,38907,6849,1,42
MQTT-IoT-IDS2020,MQTTEEB-D_flow_5s,binary,strict_encrypted_flow_safe,Extra Trees,ok,0.8201197255073733,0.8353929580566548,0.8427756480685011,0.8198967273074993,0.8210764895682441,0.83010754369349,0.8948738984134919,0.5209571000013966,8.628004086794704e-06,181565,38907,6849,1,42
MQTT-IoT-IDS2020,MQTTEEB-D_flow_5s,binary,strict_encrypted_flow_safe,HistGradientBoostingClassifier,ok,0.5930792816469558,0.2965396408234779,0.5,0.37228485015122353,0.44158886299146444,0.7852198352871715,0.820446368556781,1.2534278000093764,2.1235508843100577e-06,181565,38907,6849,1,42
