dataset,policy,view_role,view,task,model,split_type,n_train,n_val,n_test,n_features,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,stability_target,train_dataset,test_dataset,features
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794,1027,1028,14,42,ok,0.8939688715953308,0.8903502282117532,0.9035022354694486,0.8924792470898907,0.894842948784473,0.927798258686956,0.9605402696153202,1.0178120999917155,8.011284038100159e-06,MQTTEEB-D strict 5s binary,,,
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794,1027,1028,14,7,ok,0.8803501945525292,0.8809082203136415,0.8946623264569771,0.8793628683328005,0.8814012192380465,0.9188995215311004,0.9553586243978243,0.7730642999958945,5.317898826734326e-06,MQTTEEB-D strict 5s binary,,,
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794,1027,1028,14,13,ok,0.8852140077821011,0.8848564680232558,0.8987606871127147,0.8841612712236674,0.8862237755014152,0.9191485606714251,0.9566564456827495,0.8711789999942994,7.502626456005013e-06,MQTTEEB-D strict 5s binary,,,
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794,1027,1028,14,21,ok,0.8861867704280155,0.884669556821839,0.8984508588908934,0.8849868851236278,0.8871809611087939,0.9270080006275002,0.9594015929168425,0.7354886999964947,6.884824894984698e-06,MQTTEEB-D strict 5s binary,,,
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794,1027,1028,14,100,ok,0.8910505836575876,0.8887954545454546,0.9025492195466311,0.8897886825106922,0.8919912736034551,0.9282296650717704,0.9616601925170765,0.8281930000084685,6.407490282107493e-06,MQTTEEB-D strict 5s binary,,,
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,181565,38907,38907,42,42,ok,0.9992803351581978,0.9991533324240045,0.9990364895249688,0.999094890854636,0.9992802930380902,0.9998097259875446,0.999722290163278,2.7112143999984255,1.6425296221646114e-06,MQTT-IoT-IDS2020 strict binary,,,
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,181565,38907,38907,42,7,ok,0.9994345490528697,0.9993181065112292,0.9992596724132173,0.9992888844317344,0.999434532508532,0.9999981989588853,0.9999949629436797,3.0231327999936184,2.013732747262505e-06,MQTT-IoT-IDS2020 strict binary,,,
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,181565,38907,38907,42,13,ok,0.9994859536844269,0.9993535691268323,0.9993535691268323,0.9993535691268323,0.9994859536844269,0.9999809810722873,0.9999021015008913,2.9388278999977047,1.8368339885284643e-06,MQTT-IoT-IDS2020 strict binary,,,
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,181565,38907,38907,42,21,ok,0.9994602513686484,0.9992775088883226,0.9993651280226213,0.9993213071407815,0.9994602750469421,0.9998866590205493,0.9997655661220993,2.9088914999883855,1.8516976379690048e-06,MQTT-IoT-IDS2020 strict binary,,,
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,181565,38907,38907,42,100,ok,0.9995630606317629,0.9995235699478333,0.9993773996920619,0.9994504533652346,0.9995630286628591,0.9999520464495814,0.9999296121115123,2.6383159999968484,1.633299920230347e-06,MQTT-IoT-IDS2020 strict binary,,,
,audited_metadata_main,strict,,binary,HistGradientBoostingClassifier,,4794,1027,259379,14,42,ok,0.31252337313352274,0.6231084841488433,0.5248964644322288,0.2734979735557694,0.1973005498043893,0.3993711119916865,0.46544702338855765,0.8993122999963816,1.0859657103677448e-06,MQTTEEB-D strict 5s -> MQTT-IoT-IDS2020 strict,MQTTEEB-D_flow_5s,MQTT-IoT-IDS2020,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
,audited_metadata_main,strict,,binary,HistGradientBoostingClassifier,,4794,1027,259379,14,7,ok,0.27380011488979444,0.6368762578943716,0.500045122041852,0.21500837144593368,0.11779211890719192,0.4164393490215216,0.5548819941526618,0.8994468000018969,9.502430806166993e-07,MQTTEEB-D strict 5s -> MQTT-IoT-IDS2020 strict,MQTTEEB-D_flow_5s,MQTT-IoT-IDS2020,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
,audited_metadata_main,strict,,binary,HistGradientBoostingClassifier,,4794,1027,259379,14,13,ok,0.15106080291773813,0.16864938056964907,0.2300456354285031,0.14682784310368524,0.11963287188890233,0.4175142294437127,0.5254712243457244,1.0130471999873407,1.1844520952085321e-06,MQTTEEB-D strict 5s -> MQTT-IoT-IDS2020 strict,MQTTEEB-D_flow_5s,MQTT-IoT-IDS2020,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
,audited_metadata_main,strict,,binary,HistGradientBoostingClassifier,,4794,1027,259379,14,21,ok,0.15106851364219925,0.16865730752797575,0.23005971973717476,0.14683466085427566,0.11963692997160784,0.4176550579510192,0.5639896982257313,1.0543940000061411,1.324288782072949e-06,MQTTEEB-D strict 5s -> MQTT-IoT-IDS2020 strict,MQTTEEB-D_flow_5s,MQTT-IoT-IDS2020,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
,audited_metadata_main,strict,,binary,HistGradientBoostingClassifier,,4794,1027,259379,14,100,ok,0.27380011488979444,0.6368762578943716,0.500045122041852,0.21500837144593368,0.11779211890719192,0.41422218543156575,0.5589477018770233,1.0112738000025274,1.0378862590897881e-06,MQTTEEB-D strict 5s -> MQTT-IoT-IDS2020 strict,MQTTEEB-D_flow_5s,MQTT-IoT-IDS2020,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
