dataset,task,view,model,split_type,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,n_train,n_val,n_test,n_features,seed,random_stratified_macro_f1,macro_f1_delta_vs_random
MQTTEEB-D,binary,full_feature_safe,Logistic Regression,random_stratified,ok,0.8594320972862877,0.6049460558795695,0.6626523713947996,0.62329310852396,0.8744850309701117,0.6481849962212703,0.9521342400171631,2.2814790999982506,1.7394117294617785e-06,155796,33385,33386,9,42,0.62329310852396,0.0
MQTTEEB-D,binary,full_feature_safe,Random Forest,random_stratified,ok,0.8319055891691128,0.6191736816189249,0.7570569948176293,0.6440473943272591,0.8618340160211341,0.7974839386708036,0.9686147757180713,3.568016399993212,4.5378991192603865e-06,155796,33385,33386,9,42,0.6440473943272591,0.0
MQTTEEB-D,binary,full_feature_safe,Extra Trees,random_stratified,ok,0.8207032888036901,0.6124214064202248,0.7537531495997667,0.6339084672633247,0.8541490237909998,0.7967905316650824,0.9686104369400546,2.1881776000082027,4.307278500331095e-06,155796,33385,33386,9,42,0.6339084672633247,0.0
MQTTEEB-D,binary,full_feature_safe,HistGradientBoostingClassifier,random_stratified,ok,0.8428083627867968,0.6269591647414142,0.7614132127734887,0.6548900604204315,0.8693683371673652,0.8153046524200859,0.9749894952773849,2.94893630000297,2.502611873178553e-06,155796,33385,33386,9,42,0.6548900604204315,0.0
MQTTEEB-D,binary,full_feature_safe,Logistic Regression,time_block_split,ok,0.84089139160127,0.6000607561106102,0.7081369941383424,0.6215817819936902,0.8681929183874827,0.6994410127772134,0.9658291953947282,1.8432281999994302,1.5050889596360392e-06,155796,33385,33386,9,42,0.62329310852396,-0.001711326530269841
MQTTEEB-D,binary,full_feature_safe,Random Forest,time_block_split,ok,0.8261247229377583,0.5967277457254154,0.7211019724897397,0.6156844082247602,0.8591324630516167,0.7189378778039033,0.9528788820859142,2.7762166999891633,4.641580303111411e-06,155796,33385,33386,9,42,0.6440473943272591,-0.028362986102498877
MQTTEEB-D,binary,full_feature_safe,Extra Trees,time_block_split,ok,0.817168873180375,0.5972181387181165,0.7354702817241716,0.6145446550461953,0.8537828668232282,0.7183946429806882,0.9525407897094185,1.593800699993153,3.875798238783209e-06,155796,33385,33386,9,42,0.6339084672633247,-0.01936381221712946
MQTTEEB-D,binary,full_feature_safe,HistGradientBoostingClassifier,time_block_split,ok,0.8396034265859942,0.6054989450387385,0.7272124072604003,0.6285026394974256,0.8682316693774784,0.850741521242053,0.9839642831256451,2.9352614999952493,3.145288443918125e-06,155796,33385,33386,9,42,0.6548900604204315,-0.026387420923005944
MQTTEEB-D,multiclass,full_feature_safe,Logistic Regression,random_stratified,ok,0.505870724255676,0.5436298730965059,0.37635161166521064,0.3821119572341114,0.49889527160572733,,,26.756598100007977,1.7441352660638466e-06,155796,33385,33386,9,42,0.3821119572341114,0.0
MQTTEEB-D,multiclass,full_feature_safe,Random Forest,random_stratified,ok,0.5221649793326544,0.608979122682673,0.6128965451681362,0.5592293652321828,0.5374341849119338,,,3.179399000000558,5.013301982797794e-06,155796,33385,33386,9,42,0.5592293652321828,0.0
MQTTEEB-D,multiclass,full_feature_safe,Extra Trees,random_stratified,ok,0.5179116995147667,0.6028223987488978,0.6120022252191133,0.5570358357608384,0.5336467834653735,,,2.2979661999997916,5.117767926601282e-06,155796,33385,33386,9,42,0.5570358357608384,0.0
MQTTEEB-D,multiclass,full_feature_safe,HistGradientBoostingClassifier,random_stratified,ok,0.5188402324327562,0.5905139184162775,0.6103444108693044,0.552398825368217,0.53242825250581,,,22.169559899994056,1.0095462169603399e-05,155796,33385,33386,9,42,0.552398825368217,0.0
MQTTEEB-D,multiclass,full_feature_safe,Logistic Regression,time_block_split,ok,0.5573593721919368,0.5540889062937223,0.4056100025759853,0.4053622375823756,0.556651412631092,,,15.64435859999503,1.6035404063138103e-06,155796,33385,33386,9,42,0.3821119572341114,0.023250280348264207
MQTTEEB-D,multiclass,full_feature_safe,Random Forest,time_block_split,ok,0.5294734319774755,0.5389004827195747,0.5853551073642121,0.5070965836315287,0.5541699112580059,,,2.9125335999997333,5.5751093274557e-06,155796,33385,33386,9,42,0.5592293652321828,-0.052132781600654154
MQTTEEB-D,multiclass,full_feature_safe,Extra Trees,time_block_split,ok,0.52686754927215,0.5507633649840554,0.5912956472098947,0.5152535132741684,0.5547848962195556,,,1.7691930000000866,4.712403402726533e-06,155796,33385,33386,9,42,0.5570358357608384,-0.04178232248667002
MQTTEEB-D,multiclass,full_feature_safe,HistGradientBoostingClassifier,time_block_split,ok,0.5363325945006889,0.586074530725171,0.6099507609067855,0.5306299540707088,0.5633329730467279,,,21.38912569999229,8.909815491406388e-06,155796,33385,33386,9,42,0.552398825368217,-0.021768871297508263
MQTTEEB-D,binary,broker_side_safe,Logistic Regression,random_stratified,ok,0.8594320972862877,0.6049460558795695,0.6626523713947996,0.62329310852396,0.8744850309701117,0.6481849962212703,0.9521342400171631,2.0994968000013614,1.5529084046470478e-06,155796,33385,33386,9,42,0.62329310852396,0.0
