dataset,policy,view_role,view,task,model,split_type,n_train,n_val,n_test,n_features,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,binary,Logistic Regression,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.8594320972862877,0.6049460558795695,0.6626523713947996,0.62329310852396,0.8744850309701117,0.6481849962212703,0.9521342400171631,2.3699750999949174,2.4657581022135006e-06
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,binary,Random Forest,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.8318157311447912,0.6191620194763705,0.7571817837579022,0.6440211241696538,0.8617789186736298,0.7972059598249736,0.9685537703982772,2.8583909000008134,3.5681603070035958e-06
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,binary,Extra Trees,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.8206433834541424,0.6123829337945986,0.753720631389569,0.63385013090271,0.8541073092655875,0.7967893958733824,0.9686112095407158,1.84290860001056,4.00482238064431e-06
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.8428083627867968,0.6269591647414142,0.7614132127734887,0.6548900604204315,0.8693683371673652,0.8153046524200859,0.9749894952773849,2.9329794000077527,2.6077367756142777e-06
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,binary,Isolation Forest,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.49478823458934884,0.5200867404212466,0.5688537792629325,0.40352811253943976,0.6000249432155516,0.6541712048952424,0.9505378390302012,0.22979129999293946,5.367714610923682e-05
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,binary,Logistic Regression,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.84089139160127,0.6000607561106102,0.7081369941383424,0.6215817819936902,0.8681929183874827,0.6994410127772134,0.9658291953947282,2.241251800005557,1.7640897382590477e-06
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,binary,Random Forest,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.8258251961900198,0.5965993138451847,0.7211325290288129,0.6154743646820029,0.8589371583684373,0.7122276886863265,0.9522672449505521,2.5058328000013717,4.14946085220392e-06
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,binary,Extra Trees,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.8171988258551489,0.5972354957058247,0.735486419606236,0.614572509123007,0.8538033155924007,0.7183977523603785,0.9525410854947923,1.5406604000017978,4.578023722371952e-06
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,binary,HistGradientBoostingClassifier,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.8396034265859942,0.6054989450387385,0.7272124072604003,0.6285026394974256,0.8682316693774784,0.850741521242053,0.9839642831256451,2.967850199987879,2.6661774397754375e-06
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,binary,Isolation Forest,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.472713113281016,0.5033970806032351,0.5126491781990068,0.37686122542039413,0.5860751367581499,0.6078094065491649,0.9549108241192765,0.27179769999929704,5.446695021858447e-05
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,binary,MLP,all,,,,9,42,skipped_optional_too_slow_or_unstable,,,,,,,,,
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,multiclass,Logistic Regression,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.505870724255676,0.5436298730965059,0.37635161166521064,0.3821119572341114,0.49889527160572733,,,26.794158699995023,1.6017731985576929e-06
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,multiclass,Random Forest,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.5223147427065237,0.6100720993854495,0.613028084829534,0.5595081573001749,0.5375830476955593,,,2.546636999992188,3.8618492782787385e-06
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,multiclass,Extra Trees,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.5179116995147667,0.6028223987488978,0.6120022252191133,0.5570358357608384,0.5336467834653735,,,1.6860159000061685,4.106949020170096e-06
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,multiclass,HistGradientBoostingClassifier,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.5188402324327562,0.5905139184162775,0.6103444108693044,0.552398825368217,0.53242825250581,,,21.266527499989024,1.0246216977286673e-05
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,multiclass,Logistic Regression,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.5573593721919368,0.5540889062937223,0.4056100025759853,0.4053622375823756,0.556651412631092,,,15.835176599997794,2.108302881622436e-06
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,multiclass,Random Forest,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.5292338105792848,0.53890775749535,0.5849403115545008,0.5068498337977203,0.5539876843928374,,,2.4311842000024626,3.762577128165087e-06
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,multiclass,Extra Trees,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.5269274546216978,0.5507971824225654,0.5914939418757682,0.5153641321281994,0.5548381516967545,,,1.3079854999959935,4.126544060582199e-06
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,multiclass,HistGradientBoostingClassifier,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.5363325945006889,0.586074530725171,0.6099507609067855,0.5306299540707088,0.5633329730467279,,,17.500673999995342,9.32940753603862e-06
MQTTEEB-D,audited_metadata_main,full,full_audited_metadata_main,multiclass,MLP,all,,,,9,42,skipped_optional_too_slow_or_unstable,,,,,,,,,
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,binary,Logistic Regression,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.8594320972862877,0.6049460558795695,0.6626523713947996,0.62329310852396,0.8744850309701117,0.6481849962212703,0.9521342400171631,2.3744991999992635,1.5469807700678538e-06
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,binary,Random Forest,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.8318157311447912,0.6191620194763705,0.7571817837579022,0.6440211241696538,0.8617789186736298,0.7972059598249736,0.9685537703982772,2.419119400001364,3.3919457254250062e-06
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,binary,Extra Trees,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.8206433834541424,0.6123829337945986,0.753720631389569,0.63385013090271,0.8541073092655875,0.7967893958733824,0.9686112095407158,1.6986835999996401,3.353192954803042e-06
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.8428083627867968,0.6269591647414142,0.7614132127734887,0.6548900604204315,0.8693683371673652,0.8153046524200859,0.9749894952773849,2.6465844999911496,2.869283532237034e-06
