dataset,view,validation_sample_size,feature_columns,model,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,number_of_features,encoded_number_of_features,train_sample_size,test_sample_size,random_seed
MQTTEEB-D,full_feature_upper_bound,3000.0,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]",Logistic Regression,ok,0.6643333333333333,0.7092559317477609,0.6643333333333333,0.6452965988511179,0.6452965988511179,0.6588595555555555,0.6495852766977324,0.07580530000268482,2.0765666655885675e-06,9,39.0,14000.0,3000.0,42.0
MQTTEEB-D,full_feature_upper_bound,3000.0,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]",Random Forest,ok,0.7453333333333333,0.7472480220158239,0.7453333333333334,0.7448393423000261,0.7448393423000261,0.7975568888888889,0.7512122806374593,0.5000321999978041,1.5276366665299672e-05,9,39.0,14000.0,3000.0,42.0
MQTTEEB-D,full_feature_upper_bound,3000.0,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]",Extra Trees,ok,0.7346666666666667,0.7354771266082016,0.7346666666666667,0.7344381654614816,0.7344381654614814,0.7798780000000001,0.7337798141171843,0.3386441999900853,1.8641133331887733e-05,9,39.0,14000.0,3000.0,42.0
MQTTEEB-D,broker_side_secure_mqtt_metadata,3000.0,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]",Logistic Regression,ok,0.6643333333333333,0.7092559317477609,0.6643333333333333,0.6452965988511179,0.6452965988511179,0.6588595555555555,0.6495852766977324,0.1044192999979714,2.79946666463123e-06,9,39.0,14000.0,3000.0,42.0
MQTTEEB-D,broker_side_secure_mqtt_metadata,3000.0,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]",Random Forest,ok,0.7453333333333333,0.7472480220158239,0.7453333333333334,0.7448393423000261,0.7448393423000261,0.7975568888888889,0.7512122806374593,0.6310385999968275,2.1582899998369007e-05,9,39.0,14000.0,3000.0,42.0
MQTTEEB-D,broker_side_secure_mqtt_metadata,3000.0,"[""tcp_flags"", ""tcp_len"", ""mqtt_conack_flags"", ""mqtt_conflag_cleansess"", ""mqtt_conflags"", ""mqtt_dupflag"", ""mqtt_hdrflags"", ""mqtt_kalive"", ""mqtt_qos""]",Extra Trees,ok,0.7346666666666667,0.7354771266082016,0.7346666666666667,0.7344381654614816,0.7344381654614814,0.7798780000000001,0.73377933182039,0.4034277999890037,2.3384033333665382e-05,9,39.0,14000.0,3000.0,42.0
MQTTEEB-D,strict_encrypted_flow_metadata,3000.0,"[""tcp_flags"", ""tcp_len""]",Logistic Regression,ok,0.5866666666666667,0.6657171217230502,0.5866666666666667,0.5307002759280528,0.5307002759280528,0.5366537777777778,0.5797204870027823,0.04771769999933895,1.4545666684474174e-06,2,4.0,14000.0,3000.0,42.0
MQTTEEB-D,strict_encrypted_flow_metadata,3000.0,"[""tcp_flags"", ""tcp_len""]",Random Forest,ok,0.7466666666666667,0.7487722752039933,0.7466666666666666,0.7461294766392352,0.7461294766392353,0.7943017777777778,0.7378533044529986,0.44720280000183266,1.742993333027698e-05,2,4.0,14000.0,3000.0,42.0
MQTTEEB-D,strict_encrypted_flow_metadata,3000.0,"[""tcp_flags"", ""tcp_len""]",Extra Trees,ok,0.7376666666666667,0.7386238132955522,0.7376666666666667,0.7374033405720737,0.7374033405720738,0.7783899999999999,0.7287626702091126,0.2861354000051506,2.042573333407442e-05,2,4.0,14000.0,3000.0,42.0
IoT-23,full_feature_upper_bound,3000.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",Logistic Regression,ok,0.96,0.9626723957578976,0.96,0.9599421564739484,0.9599421564739483,0.9769671111111112,0.9675028065800224,0.3555262000008952,3.2903333340073002e-06,28,48.0,14000.0,3000.0,42.0
