dataset,view_role,model,feature,importance
MQTTEEB-D_flow_5s,strict,Extra Trees,num__duration,0.3036719505498925
MQTTEEB-D_flow_5s,strict,Extra Trees,num__byte_std,0.13558913047608692
MQTTEEB-D_flow_5s,strict,Extra Trees,num__byte_min,0.10121576159030952
MQTTEEB-D_flow_5s,strict,Extra Trees,num__byte_max,0.07890106552604925
MQTTEEB-D_flow_5s,strict,Extra Trees,num__byte_sum,0.06167621280828059
MQTTEEB-D_flow_5s,strict,Extra Trees,num__iat_max,0.05983672274638579
MQTTEEB-D_flow_5s,strict,Extra Trees,num__burstiness,0.05948191754656864
MQTTEEB-D_flow_5s,strict,Extra Trees,num__byte_mean,0.045434111927052837
MQTTEEB-D_flow_5s,strict,Extra Trees,num__packets_per_second,0.035460750606834034
MQTTEEB-D_flow_5s,strict,Extra Trees,num__iat_std,0.031486444129417215
MQTTEEB-D_flow_5s,strict,Extra Trees,num__bytes_per_second,0.025178828550589026
MQTTEEB-D_flow_5s,strict,Extra Trees,num__packet_count,0.024793175376660963
MQTTEEB-D_flow_5s,strict,Extra Trees,num__iat_mean,0.01982947776708971
MQTTEEB-D_flow_5s,strict,Extra Trees,num__iat_min,0.01744445039878313
MQTT-IoT-IDS2020,strict,Extra Trees,num__burstiness,0.11017211497209625
MQTT-IoT-IDS2020,strict,Extra Trees,num__fwd_std_pkt_len,0.1001250325686069
MQTT-IoT-IDS2020,strict,Extra Trees,num__byte_std,0.08059583115845328
MQTT-IoT-IDS2020,strict,Extra Trees,num__bwd_num_psh_flags,0.05200224864749621
MQTT-IoT-IDS2020,strict,Extra Trees,num__fwd_num_psh_flags,0.04676907586147576
MQTT-IoT-IDS2020,strict,Extra Trees,num__fwd_num_pkts,0.04031402589288125
MQTT-IoT-IDS2020,strict,Extra Trees,num__bwd_max_pkt_len,0.03913241330100579
MQTT-IoT-IDS2020,strict,Extra Trees,num__byte_sum,0.03802878426716119
MQTT-IoT-IDS2020,strict,Extra Trees,num__proto,0.037069436333673704
MQTT-IoT-IDS2020,strict,Extra Trees,num__fwd_mean_pkt_len,0.03507306377354873
MQTT-IoT-IDS2020,strict,Extra Trees,num__prt_dst,0.03449081567177812
MQTT-IoT-IDS2020,strict,Extra Trees,num__byte_min,0.028641155892520653
MQTT-IoT-IDS2020,strict,Extra Trees,num__bwd_std_pkt_len,0.026631873140367045
MQTT-IoT-IDS2020,strict,Extra Trees,num__packet_count,0.02648282408983455
MQTT-IoT-IDS2020,strict,Extra Trees,num__byte_max,0.026439561109224997
MQTT-IoT-IDS2020,strict,Extra Trees,num__byte_mean,0.02416314381829942
MQTT-IoT-IDS2020,strict,Extra Trees,num__fwd_max_pkt_len,0.023671568564404777
MQTT-IoT-IDS2020,strict,Extra Trees,num__bwd_num_bytes,0.02178864673926418
MQTT-IoT-IDS2020,strict,Extra Trees,num__fwd_min_pkt_len,0.021443839823105795
MQTT-IoT-IDS2020,strict,Extra Trees,num__fwd_num_bytes,0.020991305100683887
