target,model,importance_type,feature,importance
MQTTEEB-D broker-side metadata,Random Forest,gini,num__tcp_len,0.6319808088391112
MQTTEEB-D broker-side metadata,Random Forest,gini,cat__mqtt_hdrflags_0x34,0.11949454390916688
MQTTEEB-D broker-side metadata,Random Forest,gini,cat__mqtt_hdrflags_0x35,0.07457891011666884
MQTTEEB-D broker-side metadata,Random Forest,gini,cat__tcp_flags_0x0018,0.03825745243443932
MQTTEEB-D broker-side metadata,Random Forest,gini,cat__tcp_flags_0x0019,0.038195091301333
MQTTEEB-D broker-side metadata,Random Forest,gini,cat__mqtt_hdrflags_0x30,0.02261187446744816
MQTTEEB-D broker-side metadata,Random Forest,gini,num__mqtt_qos,0.0201636934843649
MQTTEEB-D broker-side metadata,Random Forest,gini,cat__mqtt_hdrflags_0x10,0.015350783023133545
MQTTEEB-D broker-side metadata,Random Forest,gini,cat__mqtt_conflags_0,0.012505731664278206
MQTTEEB-D broker-side metadata,Random Forest,gini,num__mqtt_conflag_cleansess,0.009373598239754604
MQTTEEB-D broker-side metadata,Random Forest,gini,cat__mqtt_conflags_0x82,0.008650813834065267
MQTTEEB-D broker-side metadata,Random Forest,gini,num__mqtt_kalive,0.005159823269417115
MQTTEEB-D broker-side metadata,Random Forest,gini,cat__tcp_flags_0x0010,0.0013314157938952955
MQTTEEB-D broker-side metadata,Random Forest,gini,cat__mqtt_hdrflags_0xe0,0.0006327954646788959
MQTTEEB-D broker-side metadata,Random Forest,gini,cat__mqtt_hdrflags_0x00,0.00025651299259163673
MQTTEEB-D broker-side metadata,Random Forest,permutation,tcp_len,0.09497223261723779
MQTTEEB-D broker-side metadata,Random Forest,permutation,mqtt_hdrflags,0.029227000497236498
MQTTEEB-D broker-side metadata,Random Forest,permutation,tcp_flags,0.00928211510088559
MQTTEEB-D broker-side metadata,Random Forest,permutation,mqtt_conack_flags,0.00021266526104954942
MQTTEEB-D broker-side metadata,Random Forest,permutation,mqtt_dupflag,0.0
MQTTEEB-D broker-side metadata,Random Forest,permutation,mqtt_conflags,-0.0033085868830058374
MQTTEEB-D broker-side metadata,Random Forest,permutation,mqtt_kalive,-0.009110316431272136
MQTTEEB-D broker-side metadata,Random Forest,permutation,mqtt_conflag_cleansess,-0.009321587961157429
MQTTEEB-D broker-side metadata,Random Forest,permutation,mqtt_qos,-0.013640543326509769
MQTTEEB-D strict encrypted-flow 5s,Random Forest,gini,num__byte_sum,0.1966476618030812
MQTTEEB-D strict encrypted-flow 5s,Random Forest,gini,num__bytes_per_second,0.18890758702656046
MQTTEEB-D strict encrypted-flow 5s,Random Forest,gini,num__packets_per_second,0.16791406558246888
MQTTEEB-D strict encrypted-flow 5s,Random Forest,gini,num__duration,0.08946631297947415
MQTTEEB-D strict encrypted-flow 5s,Random Forest,gini,num__packet_count,0.07402450095720299
MQTTEEB-D strict encrypted-flow 5s,Random Forest,gini,num__iat_mean,0.07043062942495999
MQTTEEB-D strict encrypted-flow 5s,Random Forest,gini,num__iat_max,0.06476903761804205
MQTTEEB-D strict encrypted-flow 5s,Random Forest,gini,num__byte_min,0.02581748590782419
MQTTEEB-D strict encrypted-flow 5s,Random Forest,gini,num__byte_std,0.02316307645867929
MQTTEEB-D strict encrypted-flow 5s,Random Forest,gini,num__byte_mean,0.021714203277591822
