dataset,view,view_role,feature,feature_class,single_feature_macro_f1,action,notes
MQTT-IoT-IDS2020,full_audited_metadata_main,full,prt_dst,suspicious_protocol_metadata_retained,0.8591856797175499,retain_with_protocol_metadata_note,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,full_audited_metadata_main,full,fwd_num_pkts,legitimate_metadata_retained,0.9682049115629621,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,bwd_num_pkts,legitimate_metadata_retained,0.9682049115629621,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,fwd_mean_iat,legitimate_metadata_retained,0.9659250889484419,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,bwd_mean_iat,legitimate_metadata_retained,0.9659250889484419,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,fwd_std_iat,legitimate_metadata_retained,0.9635280849992311,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,bwd_std_iat,legitimate_metadata_retained,0.9635280849992311,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,fwd_min_iat,legitimate_metadata_retained,0.8434549377945604,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,full_audited_metadata_main,full,bwd_min_iat,legitimate_metadata_retained,0.8488626253582923,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,full_audited_metadata_main,full,fwd_max_iat,legitimate_metadata_retained,0.9672616914461107,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,bwd_max_iat,legitimate_metadata_retained,0.9672616914461107,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,fwd_mean_pkt_len,legitimate_metadata_retained,0.9926662722750867,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,bwd_mean_pkt_len,legitimate_metadata_retained,0.8935423079206817,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,full_audited_metadata_main,full,fwd_std_pkt_len,legitimate_metadata_retained,0.9590984690445666,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,bwd_std_pkt_len,legitimate_metadata_retained,0.860062914821467,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,full_audited_metadata_main,full,bwd_min_pkt_len,legitimate_metadata_retained,0.8930827434720818,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,full_audited_metadata_main,full,fwd_max_pkt_len,legitimate_metadata_retained,0.9902220569629134,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,bwd_max_pkt_len,legitimate_metadata_retained,0.8936571787766356,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,full_audited_metadata_main,full,fwd_num_bytes,legitimate_metadata_retained,0.9937775368685879,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,bwd_num_bytes,legitimate_metadata_retained,0.9946110408384183,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,fwd_num_psh_flags,legitimate_metadata_retained,0.9589867990761338,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,bwd_num_psh_flags,legitimate_metadata_retained,0.9589867990761338,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,packet_count,legitimate_metadata_retained,0.9682049115629621,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,byte_sum,legitimate_metadata_retained,0.9937775368685879,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,byte_mean,legitimate_metadata_retained,0.9940553454927485,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,byte_std,legitimate_metadata_retained,0.9590984690445666,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,full_audited_metadata_main,full,iat_mean,legitimate_metadata_retained,0.9659250889484419,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
